Formula label,Helper lipid,Lipid wt%,Dlin wt%,Chol wt%,DMG wt%,pDNA wt%,RLU in HepG2,RLU in N2a,RLU in ARPE19
1,18PG,0.173801669881252,27.9333978057350,67.4824247124594,0.875796734015573,3.53457907790872,2.303,6.161,3.892
2,18PG,0.176928508910658,28.4359432562049,68.6964906045422,0.891553057942824,1.79908457239932,1.609,6.073,3.807
3,18PG,0.177995941417840,28.6075009683619,69.1109453899925,0.896931912497045,1.20662578773076,2.015,4.543,2.565
4,18PG,0.303445302131041,48.7697174745163,44.1823101499793,0.573404454500443,6.17112261887286,2.565,5.056,2.944
5,18PG,0.313106391814233,50.3224474427720,45.5889862717445,0.591660502034435,3.18379939163479,2.803,5.303,3.045
6,18PG,0.316464927964658,50.8622312457635,46.0779965968539,0.598006949238363,2.14530028017956,1.872,4.533,2.944
7,18PG,0.403862937527093,64.9088360350323,26.1348182044180,0.339181476140617,8.21330134688196,2.639,4.86,2.565
8,18PG,0.421158443586908,67.6885691144119,27.2540466966249,0.353706986483030,4.28251875889331,2.89,4.564,2.398
9,18PG,0.427257572145550,68.6688208255333,27.6487341048369,0.358829297137131,2.89635820034708,2.197,5.872,1.609
10,18PG,0.483936236012054,77.7782135371358,11.7436985194918,0.152411429382671,9.84174027797773,1.253,3.466,0.693
11,18PG,0.508982609242936,81.8036656949151,12.3514997840840,0.160299562696324,5.17555234906157,1.792,4.419,1.792
12,18PG,0.517917642140946,83.2397038441342,12.5683265575463,0.163113572134404,3.51093838404422,1.099,5.476,1.609
13,18PG,0.345826165643419,27.7905841271542,67.4714276810993,0.875654012941307,3.51650801316173,1.705,5.756,5.497
14,18PG,0.352015492137716,28.2879582871174,68.6789785735475,0.891325784254653,1.78972186294271,2.251,5.58,5.497
15,18PG,0.354128128316150,28.4577296904397,69.0911584294717,0.896675114442232,1.20030863733017,1.253,4.779,5.094
16,18PG,0.603714399122949,48.5144776896380,44.1697409716056,0.573241329873315,6.13882560976014,2.251,4.625,3.219
17,18PG,0.622831674286343,50.0507415600186,45.5684240132504,0.591393642049633,3.16660911039503,2.351,4.754,4.06
18,18PG,0.629476022646637,50.5846812685231,46.0545465016748,0.597702610488566,2.13359359666698,2.079,4.522,4.174
19,18PG,0.803422947594083,64.5630528657613,26.1249237773715,0.339053064825683,8.16954734444738,1.946,4.934,2.398
20,18PG,0.837638588109569,67.3126210901349,27.2375146028362,0.353492430562608,4.25873328835671,1.872,4.984,2.303
21,18PG,0.849700751021290,68.2819362734725,27.6297402513600,0.358582792141017,2.88003993200523,2.251,4.898,1.946
22,18PG,0.962644150808246,77.3580657431628,11.7383713366238,0.152342292427721,9.78857647697743,2.14,5.043,2.833
23,18PG,1.01218331999048,81.3390324412346,12.3424462308417,0.160182064364060,5.14615594356910,1.504,5.165,1.946
24,18PG,1.02984920196269,82.7586623822352,12.5578619505597,0.162977760941183,3.49064870430124,1.099,5.617,1.386
25,18PG,0.684651564027171,27.5092933648974,67.4497675476682,0.875372904575712,3.48091461883153,1.253,4.844,5.447
26,18PG,0.696778699838970,27.9965615670767,68.6444956904238,0.890878260376430,1.77128578228417,1.792,4.977,5.561
27,18PG,0.700917114906281,28.1628430453263,69.0521996218425,0.896169501364039,1.18787071656090,2.674,4.19,4.828
28,18PG,1.19492138613294,48.0119299892761,44.1449932165088,0.572920149904155,6.07523525817801,3.091,5.242,4.554
29,18PG,1.23235563825360,49.5160378853065,45.5279585103846,0.590868474861270,3.13277949119400,1.872,4.779,4.956
30,18PG,1.24536043704130,50.0385705775533,46.0084058108741,0.597103789884821,2.11055938464656,2.251,4.454,4.86
31,18PG,1.58990635682972,63.8824223747897,26.1054478475490,0.338800303372561,8.08342311745909,1.946,5.063,1.946
32,18PG,1.65687235845479,66.5731156864972,27.2049952865993,0.353070390141356,4.21194627830738,2.251,4.883,2.485
33,18PG,1.68046579732433,67.5210998370502,27.5923874655835,0.358098022248282,2.84794887779369,3.584,5.198,1.609
34,18PG,1.90471030690028,76.5312421101605,11.7278877859407,0.152206235380449,9.68395356161801,3.611,4.277,1.792
35,18PG,2.00162870398525,80.4254223880579,12.3246441962400,0.159951026966849,5.08835368475004,2.803,5.204,1.946
36,18PG,2.03616445365360,81.8130684829781,12.5372914398898,0.162710793858443,3.45076482962004,0.693,5.434,2.079
37,18PG,3.16682596253663,25.4486074424673,67.2910892758284,0.873313554858675,3.22016376430903,1.099,5.242,4.127
38,18PG,3.21864884443099,25.8650560233077,68.3922606737320,0.887604717601933,1.63642974092737,2.833,4.673,3.526
39,18PG,3.23630211453382,26.0069176684494,68.7673705751136,0.892472948521713,1.09693669338146,3.199,3.97,3.045
40,18PG,5.51738290623511,44.3376785941494,43.9640562156526,0.570571923160855,5.61031036080210,2.773,5.366,2.485
41,18PG,5.67662093239183,45.6173150710240,45.2329095203076,0.587039286106048,2.88611519017046,2.351,5.088,3.045
42,18PG,5.73176269028141,46.0604341330818,45.6722945303543,0.592741688745164,1.94276695753734,2.674,5.182,2.303
43,18PG,7.33123830450187,58.9138171423241,25.9632734840625,0.336955143781263,7.45471592533029,1.705,5.743,1.792
44,18PG,7.61507957957442,61.1947650917040,26.9684854748183,0.350000931365934,3.87166892253737,3.839,6.073,1.386
45,18PG,7.71464137038185,61.9948434542351,27.3210793881425,0.354576946514157,2.61485884072646,3.526,6.261,1.792
46,18PG,8.77337423005184,70.5028187111389,11.6514515548990,0.151214234844131,8.92114126906611,2.015,5.591,1.792
