Formula label,helper lipid,NP ratio,Dlin-MC3:Helper lipid,Dlin-MC3+Helper lipid percentage,Chol:DMG-PEG,RLU in HepG2,RLU in N2a,RLU in ARPE19
105,18PG,12,10,60,100,3.135,3.135,4.205
106,18PG,4,10,80,100,1.504,6.109,4.595
107,18PG,8,10,80,100,2.833,4.868,4.963
108,18PG,12,10,80,100,1.946,4.736,4.796
109,18PG,4,1,20,100,1.705,1.099,1.386
110,18PG,8,1,20,100,0.916,1.386,0.693
111,18PG,12,1,20,100,1.386,1.099,1.609
112,18PG,4,1,40,100,1.792,1.946,1.099
113,18PG,8,1,40,100,1.386,1.099,1.386
114,18PG,12,1,40,100,1.253,1.386,1.792
115,18PG,4,1,60,100,5.075,1.386,1.609
116,18PG,8,1,60,100,1.386,1.386,1.099
117,18PG,12,1,60,100,1.504,1.609,1.792
118,18PG,4,1,80,100,1.504,0.693,1.386
119,18PG,8,1,80,100,1.504,1.386,1.099
120,18PG,12,1,80,100,0.916,1.609,1.099
121,18PG,4,200,20,10,1.386,2.079,1.792
122,18PG,8,200,20,10,0.916,1.609,2.079
123,18PG,12,200,20,10,0.916,1.386,1.099
124,18PG,4,200,40,10,1.504,2.197,2.485
125,18PG,8,200,40,10,2.674,3.219,1.946
126,18PG,12,200,40,10,2.14,3.497,1.609
127,18PG,4,200,60,10,1.099,2.639,1.609
128,18PG,8,200,60,10,2.197,3.892,2.833
129,18PG,12,200,60,10,2.015,4.007,3.045
130,18PG,4,200,80,10,1.099,3.178,1.946
131,18PG,8,200,80,10,1.386,3.296,2.833
132,18PG,12,200,80,10,0.916,4.635,4.127
133,18PG,4,100,20,10,1.504,2.079,1.792
134,18PG,8,100,20,10,1.253,1.609,1.099
135,18PG,12,100,20,10,1.099,1.609,1.386
136,18PG,4,100,40,10,1.099,1.946,1.792
137,18PG,8,100,40,10,1.386,2.996,1.792
138,18PG,12,100,40,10,1.099,1.386,2.398
139,18PG,4,100,60,10,1.253,2.89,1.792
140,18PG,8,100,60,10,1.872,3.97,3.989
141,18PG,12,100,60,10,2.639,2.773,3.638
142,18PG,4,100,80,10,1.792,3.296,1.609
143,18PG,8,100,80,10,1.872,4.06,2.833
144,18PG,12,100,80,10,2.14,4.317,3.689
145,18PG,4,50,20,10,1.253,2.079,1.792
146,18PG,8,50,20,10,0.916,2.079,1.792
147,18PG,12,50,20,10,1.386,1.609,1.792
148,18PG,4,50,40,10,1.386,1.946,2.197
149,18PG,8,50,40,10,1.386,2.996,1.386
150,18PG,12,50,40,10,1.386,1.792,1.609
151,18PG,4,50,60,10,1.099,2.639,1.946
152,18PG,8,50,60,10,2.398,3.932,1.609
153,18PG,12,50,60,10,2.303,2.773,1.792
154,18PG,4,50,80,10,1.504,3.664,1.099
155,18PG,8,50,80,10,2.015,4.143,1.609
156,18PG,12,50,80,10,2.251,4.543,3.258
157,18PG,4,10,20,10,1.705,2.485,1.609
158,18PG,8,10,20,10,1.792,2.197,1.792
159,18PG,12,10,20,10,1.386,1.946,1.946
160,18PG,4,10,40,10,1.253,2.565,1.792
161,18PG,8,10,40,10,0.916,3.045,1.792
162,18PG,12,10,40,10,1.504,2.485,2.079
163,18PG,4,10,60,10,1.386,4.043,1.609
164,18PG,8,10,60,10,2.398,4.043,2.485
165,18PG,12,10,60,10,1.792,2.89,2.197
166,18PG,4,10,80,10,1.792,4.997,2.079
167,18PG,8,10,80,10,1.946,4.913,3.434
168,18PG,12,10,80,10,2.303,4.111,3.526
169,18PG,4,1,20,10,1.253,3.555,2.565
170,18PG,8,1,20,10,1.099,4.942,3.97
171,18PG,12,1,20,10,1.386,3.367,2.708
172,18PG,4,1,40,10,1.609,1.386,1.609
173,18PG,8,1,40,10,1.386,1.946,1.099
174,18PG,12,1,40,10,1.099,1.946,1.099
175,18PG,4,1,60,10,1.253,1.386,1.946
176,18PG,8,1,60,10,1.872,1.609,1.099
177,18PG,12,1,60,10,1.099,1.386,1.609
178,18PG,4,1,80,10,1.609,1.386,1.609
179,18PG,8,1,80,10,1.253,1.099,1.099
180,18PG,12,1,80,10,1.504,1.099,1.386
181,DOPE,4,200,20,500,2.485,6.284,5.568
182,DOPE,8,200,20,500,1.792,6.05,6.561
183,DOPE,12,200,20,500,1.609,5.537,6.384
184,DOPE,4,200,40,500,1.099,5.442,4.977
185,DOPE,8,200,40,500,1.253,5.147,6.205
186,DOPE,12,200,40,500,1.386,4.369,6.83
187,DOPE,4,200,60,500,1.099,5.7,5.429
188,DOPE,8,200,60,500,1.386,4.682,3.258
189,DOPE,12,200,60,500,1.504,4.533,5.153
190,DOPE,4,200,80,500,1.253,3.258,1.609
191,DOPE,8,200,80,500,0.916,2.197,1.792
192,DOPE,12,200,80,500,1.253,2.639,2.398
193,DOPE,4,100,20,500,1.253,6.619,6.5
194,DOPE,8,100,20,500,2.398,6.066,6.692
195,DOPE,12,100,20,500,1.609,5.549,6.635
196,DOPE,4,100,40,500,1.099,5.82,5.182
197,DOPE,8,100,40,500,0.916,5.124,5.521
198,DOPE,12,100,40,500,1.099,5.394,6.198
199,DOPE,4,100,60,500,0.916,5.347,4.234
200,DOPE,8,100,60,500,1.099,5.215,4.06
201,DOPE,12,100,60,500,1.253,5.215,5.318
202,DOPE,4,100,80,500,0.916,5.153,2.833
203,DOPE,8,100,80,500,0.693,3.932,2.079
204,DOPE,12,100,80,500,0.693,4.635,3.526
205,DOPE,4,50,20,500,2.398,6.303,6.641
206,DOPE,8,50,20,500,2.351,6.009,4.949
207,DOPE,12,50,20,500,0.916,5.389,6.292
208,DOPE,4,50,40,500,0.916,5.513,4.19
209,DOPE,8,50,40,500,0.916,4.956,4.443
210,DOPE,12,50,40,500,0.405,5.017,4.357
211,DOPE,4,50,60,500,0.405,5.384,2.639
212,DOPE,8,50,60,500,0.405,4.949,3.178
213,DOPE,12,50,60,500,1.253,4.804,4.025
214,DOPE,4,50,80,500,0.693,5.257,2.398
215,DOPE,8,50,80,500,0.405,3.555,2.079
216,DOPE,12,50,80,500,4.357,4.025,3.332
217,DOPE,4,10,20,500,2.741,6.997,4.419
218,DOPE,8,10,20,500,1.386,6.18,4.595
219,DOPE,12,10,20,500,1.253,5.505,4.949
220,DOPE,4,10,40,500,1.253,6.071,4.007
221,DOPE,8,10,40,500,1.099,5.749,4.431
